;size_fraction;fraction_name;sample_code;station_id;CTD;transect;bot.depth;depth;depth_rank;sampling_date;julian_day;longitude[degrees_east];latitude[degrees_north];OWD;by_OW_minus10_10;ice_concentration_percent;dna_concentration;dna_extraction_kit;n_reads;reads_total;pico_ml;nano_ml;pico_and_nano_ml;crypto_ml;bact_ml;temperature;fluo;cdom;salinity;mixed_layer_depth;nitracline_depth;PAR_irradiance;primary_production;primary_production_std_dev;don_release;NO3_assimilation;NH4_assimilation;NH4_regeneration;urea_assimilation;nitrification;poc;poc_std_dev;pon;pon_std_dev;doc;don;nitrate;nitrite;phosphate;silica;ammonium;urea;rate_NO3_SiOH4;rate_PO4_NO3;rate_NO3_PO4;chlorophyll_a;chlorophyll_b
0-2um-1-01;0-2um;0.2-3 µm;0-2um-1-01;G100;4;T1;371;5;1;09/06/2016;161;-56,8;68,5;12;OW;0;5,8;Zymo;5103;36051;1380;745;2125;0;1154456;0,8;0,1;1,6;33,6;27;30;21,29782121;3,623285312;0,573535022;16,79415945;80,1199785;162,5045139;24,60409719;145,6232048;10,06510259;13,24084407;1,868095497;1,633929272;0,093533056;;;0,025;0,021;0,106;1,533;;;0,016;4,24;0,236;;
0-2um-1-03;0-2um;0.2-3 µm;0-2um-1-03;G100;4;T1;371;30;2;09/06/2016;161;-56,8;68,5;12;OW;0;5,5;Zymo;5906;19883;1198;3974;5172;0;931132;-0,8;2,2;1,8;33,8;27;30;21,29782121;9,268573632;0,832609288;26,24911714;195,6988145;196,4197891;43,28707151;70,74446741;19,41965528;25,01167098;3,470121125;3,227389274;0,358806405;52,57984164;5,720049081;1,098;0,048;0,218;2,351;0,149211567;0,513;0,467;0,199;5,037;0,3914;0,0144
0-2um-1-04;0-2um;0.2-3 µm;0-2um-1-04;G100;4;T1;371;35;3;09/06/2016;161;-56,8;68,5;12;OW;0;2,4;Maxwell;5708;18521;1823;3750;5573;0;523221;-1,5;1,9;2;33,8;27;30;21,29782121;3,806093988;0,569795338;10,56689484;116,5932567;60,39259287;1,214566672;21,45536005;18,62606297;16,90671472;2,595606036;2,08278813;0,104229518;66,43231735;4,177933448;6,228;0,139;0,602;5,259;0,320714983;0,433;1,184;0,097;10,346;;
0-2um-1-05;0-2um;0.2-3 µm;0-2um-1-05;G100;4;T1;371;40;4;09/06/2016;161;-56,8;68,5;12;OW;0;4,2;Zymo;11416;38596;1328;2979;4307;0;445588;-1,5;0,9;1,9;33,8;27;30;21,29782121;4,115665323;0,795727104;7,062645873;126,0901534;65,7025937;3,010298238;17,33103618;14,06548358;11,32804596;1,40508086;1,371172213;0,156415248;76,3216257;3,911661979;7,891;0,153;0,713;6,074;0,337973188;0,453;1,299;0,09;11,067;1,7298;0,0168
0-2um-1-06;0-2um;0.2-3 µm;0-2um-1-06;G100;4;T1;371;55;5;09/06/2016;161;-56,8;68,5;12;OW;0;4,4;Zymo;4820;16753;844;1661;2505;0;366000;-1,5;0,2;2;33,9;27;30;21,29782121;0,216193608;0,216193608;3,628473844;88,14559488;13,76740093;0;6,342923939;11,88587902;4,656880623;0,875890124;0,534319659;0,036955924;93,05095008;3,687987225;9,157;0,166;0,822;6,949;0,204222097;0,473;1,318;0,09;11,14;;
0-2um-1-07;0-2um;0.2-3 µm;0-2um-1-07;G102;7;T1;361;5;1;10/06/2016;162;-57,5;68,5;12;OW;0;3;Zymo;3670;18491;1554;2930;4484;0;1584734;0,2;1,2;1,9;33,6;46;39;19,58709947;;;;;;;;;;;;;;;;;;;;;;;;;
0-2um-1-08;0-2um;0.2-3 µm;0-2um-1-08;G102;7;T1;361;15;2;10/06/2016;162;-57,5;68,5;12;OW;0;5,7;Maxwell;5985;23447;1871;3011;4882;0;1575172;0,2;1,8;1,9;33,7;46;39;19,58709947;13,50770822;1,867524716;164,3864128;83,00023901;161,3540661;11,29560118;100,2813826;6,419887021;24,36280321;3,056986757;3,142425101;0,623317608;120,762063;21,44229452;0,038;0,021;0,152;2,096;0,073744742;0,433;0,018;4;0,25;;
0-2um-1-10;0-2um;0.2-3 µm;0-2um-1-10;G102;7;T1;361;30;3;10/06/2016;162;-57,5;68,5;12;OW;0;3,1;Zymo;9332;36804;1747;3237;4984;0;1456813;0,3;2,6;1,7;33,7;46;39;19,58709947;11,09401752;2,083432134;70,45329376;36,19395253;109,2695205;46,61694888;99,17377517;4,274261183;22,37001779;3,023176749;2,190630044;0,599030925;68,55555868;18,05986485;0;0,02;0,143;1,566;0,01649304;0,493;0;;0;0,9241;0,0172
0-2um-1-11;0-2um;0.2-3 µm;0-2um-1-11;G102;7;T1;361;40;4;10/06/2016;162;-57,5;68,5;12;OW;0;12,8;Zymo;2747;8676;1581;3790;5371;0;1192797;0,3;2,7;2;33,7;46;39;19,58709947;;;;;;;;;;;;;;;;;;;;;;;;1,331;0,0192
0-2um-1-12;0-2um;0.2-3 µm;0-2um-1-12;G102;7;T1;361;60;5;10/06/2016;162;-57,5;68,5;12;OW;0;8,1;Zymo;4468;14095;731;2602;3333;0;420219;-1,2;2,4;2;33,9;46;39;19,58709947;0,143943573;0,143943573;33,03937373;16,60181555;22,46437874;8,972607875;7,209903931;15,31132355;5,606366911;1,174235284;0,997953468;0,183834476;112,2177819;8,706810629;9,508;0,166;0,786;6,705;0,258011808;0,373;1,418;0,083;12,097;1,4198;0,0116
