"kingdom" "supergroup" "division" "class" "order" "family" "genus" "species"
"asv_023_00001" "Eukaryota" "Hacrobia" "Haptophyta" "Prymnesiophyceae" "Phaeocystales" "Phaeocystaceae" "Phaeocystis" "Phaeocystis_pouchetii"
"asv_023_00002" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" "Spumella" "Spumella_elongata"
"asv_023_00003" "Eukaryota" "Archaeplastida" "Chlorophyta" "Mamiellophyceae" "Mamiellales" "Mamiellaceae" "Micromonas" "Micromonas_polaris"
"asv_023_00004" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Oithona" "Oithona_similis"
"asv_023_00005" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Gyrodinium" "Gyrodinium_helveticum"
"asv_023_00006" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Gyrodinium" "Gyrodinium_fusiforme"
"asv_023_00007" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Maxillopoda" "Calanus" "Calanus_helgolandicus"
"asv_023_00008" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Polar-centric-Mediophyceae" "Thalassiosira" "Thalassiosira_antarctica"
"asv_023_00009" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Radial-centric-basal-Coscinodiscophyceae" "Melosira" "Melosira_arctica"
"asv_023_00010" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Leegaardiellidae_B" "Leegaardiella" "Leegaardiella_sp."
"asv_023_00011" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Polar-centric-Mediophyceae" "Chaetoceros" "Chaetoceros_socialis"
"asv_023_00012" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Gymnodinium" "Gymnodinium_dorsalisulcum"
"asv_023_00013" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Polar-centric-Mediophyceae" "Thalassiosira" "Thalassiosira_rotula"
"asv_023_00014" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gymnodiniales" "Gymnodiniaceae" "Gyrodinium" "Gyrodinium_helveticum"
"asv_023_00015" "Eukaryota" "Stramenopiles" "Ochrophyta" "Bacillariophyta" "Bacillariophyta_X" "Raphid-pennate" "Fragilariopsis" "Fragilariopsis_cylindrus"
